U2OS WT_NT	ALC1 KO_NT	U2OS WT_OP	ALC1 KO_OP
16.32047478	17.21068249	28.04154303	58.30860534
16.46884273	19.43620178	33.23442136	53.41246291
18.99109792	18.99109792	25.66765579	52.37388724
18.99109792	17.95252226	23.88724036	68.39762611
17.65578635	20.3264095	30.71216617	56.97329377
18.24925816	18.10089021	27.00296736	64.54005935
16.61721068	11.12759644	18.24925816	32.64094955
16.17210682	19.13946588	15.87537092	40.50445104
20.02967359	21.21661721	20.91988131	50.44510386
18.84272997	18.99109792	17.8041543	40.50445104
17.35905045	15.87537092	20.91988131	55.6379822
19.43620178	17.95252226	23.7388724	36.64688427
21.95845697	21.21661721	34.56973294	37.53709199
18.24925816	12.01780415	36.64688427	22.70029674
20.3264095	17.8041543	26.85459941	31.89910979
14.09495549	13.50148368	31.75074184	54.45103858
15.87537092	21.21661721	33.67952522	44.51038576
26.85459941	16.61721068	29.6735905	48.51632047
22.10682493	16.91394659	31.60237389	70.47477745
24.48071217	18.99109792	19.73293769	59.49554896
20.3264095	20.17804154	26.70623145	68.24925816
